STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TAVG,TMAX,TMIN,AWND,WT01,WT06,WT02,WT04,WT08
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160211,0.00,0.0,0.0,-9999,31,18,10.1,-9999,-9999,-9999,-9999,1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160212,0.00,0.0,0.0,-9999,27,15,6.7,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160213,0.00,0.0,0.0,-9999,22,6,12.3,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160214,0.00,0.0,0.0,-9999,15,-1,6.3,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160215,0.44,0.0,1.4,-9999,35,13,5.4,1,1,-9999,-9999,1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160216,1.01,0.0,0.0,-9999,54,35,7.8,1,-9999,1,-9999,1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160217,0.00,0.0,0.0,-9999,39,35,7.4,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160218,0.00,0.0,0.0,-9999,36,27,7.2,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160219,0.00,0.0,0.0,-9999,39,24,5.4,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160220,0.00,0.0,0.0,-9999,61,39,7.4,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160221,0.03,0.0,0.0,-9999,55,44,4.9,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160222,0.00,0.0,0.0,-9999,52,38,5.1,-9999,-9999,-9999,-9999,-9999
